Waktu,Total Bagian Kiri,Total Bagian Kanan,Rata-rata Keseluruhan
03-10-2025 21:14,3.0,0.0,
03-10-2025 21:15,8.0,1.0,
03-10-2025 21:16,2.0,0.0,
AVERAGE,4.33,0.33,4.67
TOTAL,13.0,1.0,14.0
